dataset,tissue,row_type,slide_id,selected_slides,max_patches_per_slide,before_cap_patches,after_cap_patches,after_spatial_margin_filter_patches,train_count,valid_count,test_count,discarded_by_margin_count,cap_removed_patches,margin_removed_fraction_after_cap,split_check_pass,split_check_csv,split_manifest,after_cap_fraction_within_dataset,kept_fraction_within_dataset,dominant_after_cap_slide,dominant_kept_slide,slide_dominates_after_cap,slide_dominates_kept
sthelar40x_lung_5class_spatial_margin128_cap50000,Lung,total,ALL,"lung_s1,lung_s3",50000.0,32272,32272,31559,24929,4162,2468,713,0,0.022093,True,reports/split_checks/sthelar40x_lung_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_lung_5class_spatial_margin128_cap50000/split_manifest.yaml,1.0,1.0,False,False,False,False
sthelar40x_ovary_5class_spatial_margin128,Ovary,slide,ovary_s0,"ovary_s0,ovary_s1",,10230,10230,10039,8263,1507,269,191,0,0.018671,True,reports/split_checks/sthelar40x_ovary_5class_spatial_margin128.csv,DATA_ROOT/sthelar40x_ovary_5class_spatial_margin128/split_manifest.yaml,0.282316,0.282494,False,False,False,False
sthelar40x_ovary_5class_spatial_margin128,Ovary,slide,ovary_s1,"ovary_s0,ovary_s1",,26006,26006,25498,19868,3519,2111,508,0,0.019534,True,reports/split_checks/sthelar40x_ovary_5class_spatial_margin128.csv,DATA_ROOT/sthelar40x_ovary_5class_spatial_margin128/split_manifest.yaml,0.717684,0.717506,True,True,True,True
sthelar40x_ovary_5class_spatial_margin128,Ovary,total,ALL,"ovary_s0,ovary_s1",,36236,36236,35537,28131,5026,2380,699,0,0.01929,True,reports/split_checks/sthelar40x_ovary_5class_spatial_margin128.csv,DATA_ROOT/sthelar40x_ovary_5class_spatial_margin128/split_manifest.yaml,1.0,1.0,False,False,False,False
sthelar40x_pancreatic_5class_spatial_margin128_cap50000,Pancreatic,slide,pancreatic_s0,"pancreatic_s0,pancreatic_s1",50000.0,26135,26135,25526,19270,3949,2307,609,0,0.023302,True,reports/split_checks/sthelar40x_pancreatic_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_pancreatic_5class_spatial_margin128_cap50000/split_manifest.yaml,0.671437,0.668693,True,True,False,False
sthelar40x_pancreatic_5class_spatial_margin128_cap50000,Pancreatic,slide,pancreatic_s1,"pancreatic_s0,pancreatic_s1",50000.0,12789,12789,12647,11517,831,299,142,0,0.011103,True,reports/split_checks/sthelar40x_pancreatic_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_pancreatic_5class_spatial_margin128_cap50000/split_manifest.yaml,0.328563,0.331307,False,False,False,False
sthelar40x_pancreatic_5class_spatial_margin128_cap50000,Pancreatic,total,ALL,"pancreatic_s0,pancreatic_s1",50000.0,38924,38924,38173,30787,4780,2606,751,0,0.019294,True,reports/split_checks/sthelar40x_pancreatic_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_pancreatic_5class_spatial_margin128_cap50000/split_manifest.yaml,1.0,1.0,False,False,False,False
sthelar40x_skin_5class_spatial_margin128_cap50000,Skin,slide,skin_s1,"skin_s1,skin_s2",50000.0,11648,11648,11209,8623,1938,648,439,0,0.037689,True,reports/split_checks/sthelar40x_skin_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_skin_5class_spatial_margin128_cap50000/split_manifest.yaml,0.46813,0.467061,False,False,False,False
sthelar40x_skin_5class_spatial_margin128_cap50000,Skin,slide,skin_s2,"skin_s1,skin_s2",50000.0,13234,13234,12790,9491,1817,1482,444,0,0.03355,True,reports/split_checks/sthelar40x_skin_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_skin_5class_spatial_margin128_cap50000/split_manifest.yaml,0.53187,0.532939,True,True,False,False
sthelar40x_skin_5class_spatial_margin128_cap50000,Skin,total,ALL,"skin_s1,skin_s2",50000.0,24882,24882,23999,18114,3755,2130,883,0,0.035488,True,reports/split_checks/sthelar40x_skin_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_skin_5class_spatial_margin128_cap50000/split_manifest.yaml,1.0,1.0,False,False,False,False
sthelar40x_tonsil_5class_spatial_margin128_cap50000,Tonsil,slide,tonsil_s0,"tonsil_s0,tonsil_s1",50000.0,23402,23402,23067,16987,4014,2066,335,0,0.014315,True,reports/split_checks/sthelar40x_tonsil_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_tonsil_5class_spatial_margin128_cap50000/split_manifest.yaml,0.522915,0.522469,True,True,False,False
sthelar40x_tonsil_5class_spatial_margin128_cap50000,Tonsil,slide,tonsil_s1,"tonsil_s0,tonsil_s1",50000.0,21351,21351,21083,15945,2886,2252,268,0,0.012552,True,reports/split_checks/sthelar40x_tonsil_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_tonsil_5class_spatial_margin128_cap50000/split_manifest.yaml,0.477085,0.477531,False,False,False,False
sthelar40x_tonsil_5class_spatial_margin128_cap50000,Tonsil,total,ALL,"tonsil_s0,tonsil_s1",50000.0,44753,44753,44150,32932,6900,4318,603,0,0.013474,True,reports/split_checks/sthelar40x_tonsil_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_tonsil_5class_spatial_margin128_cap50000/split_manifest.yaml,1.0,1.0,False,False,False,False
