path,size_bytes,size_gib,modification_date_utc,experiment_family,method,tissues,seed,checkpoint_files,prediction_inference_artifacts,referenced_by_paper_tables,referenced_by_adapter_manifests,used_for_published_adapter,likely_needed_for_qualitative_figures_qc,classification,candidate_subartifacts,rationale
run/sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN,5693036,0.005302,2026-06-24T13:52:01+00:00,BPS multi-tissue 9-class exploratory,LoRA Q/V + AdaptFormer + NP/HV/NT final heads,Breast;Pancreatic;Skin,42,NONE,log/2026-06-21T144406_sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results.json [3740976 B]; log/2026-06-21T144406_sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard.json [34726 B]; log/2026-06-21T144406_sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [5883 B],NO,YES,NO,NO,KEEP_CRITICAL,NONE,Source run is referenced by an adapter manifest.
run/sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN,2903503115,2.704098,2026-06-29T19:58:36+00:00,BPS multi-tissue 9-class exploratory,LoRA Q/V + AdaptFormer + decoder last stage,Breast;Pancreatic;Skin,42,log/2026-06-21T144406_sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN/checkpoints/model_best.pth [2897448024 B],log/2026-06-21T144406_sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN/inference_results.json [3870932 B]; log/2026-06-21T144406_sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard.json [36685 B]; log/2026-06-21T144406_sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [6631 B],NO,YES,NO,NO,KEEP_CRITICAL,NONE,Source run is referenced by an adapter manifest.
run/sthelar40x_bps_9class_slide_lora_ntonly_r16_a16_lr5e-5_clean_e3,1795024,0.001672,2026-06-10T17:42:20+00:00,BPS multi-tissue 9-class exploratory,LoRA NT-only,Breast;Pancreatic;Skin,42,NONE,log/2026-05-28T234105_sthelar40x_bps_9class_slide_lora_ntonly_r16_a16_lr5e-5_clean_e3/inference_results.json [532290 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_lora_ntonly_r4_a4_lr5e-5_clean_e3,1803995,0.001680,2026-06-10T17:42:19+00:00,BPS multi-tissue 9-class exploratory,LoRA NT-only,Breast;Pancreatic;Skin,42,NONE,log/2026-05-28T232110_sthelar40x_bps_9class_slide_lora_ntonly_r4_a4_lr5e-5_clean_e3/inference_results.json [530486 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_lora_ntonly_r8_a8_lr5e-5_clean_e3,1810440,0.001686,2026-06-10T17:42:18+00:00,BPS multi-tissue 9-class exploratory,LoRA NT-only,Breast;Pancreatic;Skin,42,NONE,log/2026-05-28T232455_sthelar40x_bps_9class_slide_lora_ntonly_r8_a8_lr5e-5_clean_e3/inference_results.json [528757 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_lora_r16_a16_e3,2831950,0.002637,2026-06-10T17:42:20+00:00,BPS multi-tissue 9-class exploratory,LoRA,Breast;Pancreatic;Skin,19,NONE,log/2026-05-25T101314_sthelar40x_bps_9class_slide_lora_r16_a16_e3/inference_results.json [492442 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_lora_r16_a16_lr5e-5_clean_e3,2707292,0.002521,2026-06-10T17:42:20+00:00,BPS multi-tissue 9-class exploratory,LoRA,Breast;Pancreatic;Skin,42,NONE,log/2026-05-28T230209_sthelar40x_bps_9class_slide_lora_r16_a16_lr5e-5_clean_e3/inference_results.json [548587 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_lora_r4_a4_e3,2817910,0.002624,2026-06-10T17:42:20+00:00,BPS multi-tissue 9-class exploratory,LoRA,Breast;Pancreatic;Skin,19,NONE,log/2026-05-25T101314_sthelar40x_bps_9class_slide_lora_r4_a4_e3/inference_results.json [515306 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_lora_r4_a4_lr5e-5_clean_e3,2738230,0.002550,2026-06-10T17:42:21+00:00,BPS multi-tissue 9-class exploratory,LoRA,Breast;Pancreatic;Skin,42,NONE,log/2026-05-28T230209_sthelar40x_bps_9class_slide_lora_r4_a4_lr5e-5_clean_e3/inference_results.json [557612 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_lora_r4_a4_lr5e-5_e3,2818896,0.002625,2026-06-10T17:42:18+00:00,BPS multi-tissue 9-class exploratory,LoRA,Breast;Pancreatic;Skin,19,NONE,log/2026-05-26T102657_sthelar40x_bps_9class_slide_lora_r4_a4_lr5e-5_e3/inference_results.json [508950 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_lora_r8_a8_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN,2827681984,2.633484,2026-06-29T19:58:35+00:00,BPS multi-tissue 9-class exploratory,LoRA + decoder conv adapters,Breast;Pancreatic;Skin,42,log/2026-06-22T122815_sthelar40x_bps_9class_slide_lora_r8_a8_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN/checkpoints/model_best.pth [2822081564 B],log/2026-06-22T122815_sthelar40x_bps_9class_slide_lora_r8_a8_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN/inference_results.json [3807474 B]; log/2026-06-22T122815_sthelar40x_bps_9class_slide_lora_r8_a8_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard.json [35759 B]; log/2026-06-22T122815_sthelar40x_bps_9class_slide_lora_r8_a8_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [6370 B],NO,YES,NO,NO,KEEP_CRITICAL,NONE,Source run is referenced by an adapter manifest.
run/sthelar40x_bps_9class_slide_lora_r8_a8_e3,2824275,0.002630,2026-06-10T17:42:18+00:00,BPS multi-tissue 9-class exploratory,LoRA,Breast;Pancreatic;Skin,19,NONE,log/2026-05-22T142726_sthelar40x_bps_9class_slide_lora_r8_a8_e3/inference_results.json [494792 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_lora_r8_a8_lr2e-5_e3,2846898,0.002651,2026-06-10T17:42:20+00:00,BPS multi-tissue 9-class exploratory,LoRA,Breast;Pancreatic;Skin,19,NONE,log/2026-05-26T102657_sthelar40x_bps_9class_slide_lora_r8_a8_lr2e-5_e3/inference_results.json [523107 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_lora_r8_a8_lr5e-5_clean_e3,2739019,0.002551,2026-06-10T17:42:20+00:00,BPS multi-tissue 9-class exploratory,LoRA,Breast;Pancreatic;Skin,42,NONE,log/2026-05-28T230209_sthelar40x_bps_9class_slide_lora_r8_a8_lr5e-5_clean_e3/inference_results.json [554221 B],NO,NO,NO,YES,KEEP_CRITICAL,NONE,Explicitly referenced by qualitative-figure/QC selection code or report.
run/sthelar40x_bps_9class_slide_lora_r8_a8_lr5e-5_e3,2860828,0.002664,2026-06-10T17:42:19+00:00,BPS multi-tissue 9-class exploratory,LoRA,Breast;Pancreatic;Skin,19,NONE,log/2026-05-25T101314_sthelar40x_bps_9class_slide_lora_r8_a8_lr5e-5_e3/inference_results.json [530049 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_lora_r8_a8_lr5e-5_e3_seed42,2844404,0.002649,2026-06-10T17:42:19+00:00,BPS multi-tissue 9-class exploratory,LoRA,Breast;Pancreatic;Skin,42,NONE,log/2026-05-26T102657_sthelar40x_bps_9class_slide_lora_r8_a8_lr5e-5_e3_seed42/inference_results.json [523655 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_ntonly_clean_e3_seed42,971350,0.000905,2026-06-10T17:42:20+00:00,BPS multi-tissue 9-class exploratory,NT-only,Breast;Pancreatic;Skin,42,NONE,log/2026-05-28T230209_sthelar40x_bps_9class_slide_ntonly_clean_e3_seed42/inference_results.json [521104 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_ntonly_e3,923008,0.000860,2026-06-10T17:42:21+00:00,BPS multi-tissue 9-class exploratory,NT-only,Breast;Pancreatic;Skin,19,NONE,log/2026-05-22T142726_sthelar40x_bps_9class_slide_ntonly_e3/inference_results.json [472516 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_ntonly_e3_seed42,929251,0.000865,2026-06-10T17:42:19+00:00,BPS multi-tissue 9-class exploratory,NT-only,Breast;Pancreatic;Skin,42,NONE,log/2026-05-25T101314_sthelar40x_bps_9class_slide_ntonly_e3_seed42/inference_results.json [483985 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_plora_r8_a8_e3,292608,0.000273,2026-06-10T17:42:19+00:00,BPS multi-tissue 9-class exploratory,P-LoRA,Breast;Pancreatic;Skin,19,NONE,log/2026-05-25T101314_sthelar40x_bps_9class_slide_plora_r8_a8_e3/inference_results.json [165906 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN,2893139426,2.694446,2026-06-29T19:58:36+00:00,BPS multi-tissue 9-class exploratory,VeRA + AdaptFormer + decoder conv adapters,Breast;Pancreatic;Skin,42,log/2026-06-22T130259_sthelar40x_bps_9class_slide_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/checkpoints/model_best.pth [2886747420 B],log/2026-06-22T130259_sthelar40x_bps_9class_slide_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/inference_results.json [3841996 B]; log/2026-06-22T130259_sthelar40x_bps_9class_slide_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard.json [35608 B]; log/2026-06-22T130259_sthelar40x_bps_9class_slide_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [6315 B],NO,YES,NO,NO,KEEP_CRITICAL,NONE,Source run is referenced by an adapter manifest.
run/sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN,2893106825,2.694416,2026-06-29T19:58:32+00:00,BPS multi-tissue 9-class exploratory,VeRA + AdaptFormer + decoder conv adapters,Breast;Pancreatic;Skin,42,log/2026-06-21T145853_sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/checkpoints/model_best.pth [2886735132 B],log/2026-06-21T145853_sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/inference_results.json [3833446 B]; log/2026-06-21T145853_sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard.json [35702 B]; log/2026-06-21T145853_sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [6439 B],NO,YES,NO,NO,KEEP_CRITICAL,NONE,Source run is referenced by an adapter manifest.
run/sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN,2893090598,2.694401,2026-06-29T19:58:35+00:00,BPS multi-tissue 9-class exploratory,VeRA + AdaptFormer + decoder conv adapters,Breast;Pancreatic;Skin,43,log/2026-06-22T123736_sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN/checkpoints/model_best.pth [2886735132 B],log/2026-06-22T123736_sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN/inference_results.json [3801264 B]; log/2026-06-22T123736_sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN/inference_results_qc_sweep_Jaccard.json [35716 B]; log/2026-06-22T123736_sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [6271 B],NO,YES,NO,NO,KEEP_CRITICAL,NONE,Source run is referenced by an adapter manifest.
run/sthelar40x_breast_5class_spatial_margin128_cap50000_fullft_lr1e-5_e10_seed42_CLEAN,8474687848,7.892668,2026-07-21T16:00:20+00:00,Tissue-specific 5-class within-slide margin128,FullFT,Breast,42,log/2026-06-30T030512_sthelar40x_breast_5class_spatial_margin128_cap50000_fullft_lr1e-5_e10_seed42_CLEAN/checkpoints/model_best.pth [8397780481 B],log/2026-06-30T030512_sthelar40x_breast_5class_spatial_margin128_cap50000_fullft_lr1e-5_e10_seed42_CLEAN/inference_results.json [20464776 B]; log/2026-06-30T030512_sthelar40x_breast_5class_spatial_margin128_cap50000_fullft_lr1e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard.json [18753 B]; log/2026-06-30T030512_sthelar40x_breast_5class_spatial_margin128_cap50000_fullft_lr1e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [4141 B],NO,NO,NO,NO,KEEP_CRITICAL,NONE,Canonical tissue-specific FullFT/selected-PEFT run with checkpoint or final inference evidence.
run/sthelar40x_breast_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN,2938911596,2.737075,2026-07-21T16:00:20+00:00,Tissue-specific 5-class within-slide margin128,LoRA Q/V + AdaptFormer + NP/HV/NT final heads,Breast,42,log/2026-06-30T170944_sthelar40x_breast_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/checkpoints/model_best.pth [2894597048 B],log/2026-06-30T170944_sthelar40x_breast_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results.json [20355791 B]; log/2026-06-30T170944_sthelar40x_breast_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard.json [18737 B]; log/2026-06-30T170944_sthelar40x_breast_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [4155 B],YES,YES,YES,YES,KEEP_CRITICAL,NONE,Source run is referenced by an adapter manifest and is a source of a published Hugging Face adapter.
run/sthelar40x_breast_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN,2912725215,2.712687,2026-07-01T20:56:55+00:00,Tissue-specific 5-class within-slide margin128,LoRA Q/V + AdaptFormer + NP/HV/NT final heads,Breast,43,log/2026-06-30T234009_sthelar40x_breast_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/checkpoints/model_best.pth [2894597176 B],NONE,NO,NO,NO,NO,KEEP_CRITICAL,NONE,Canonical tissue-specific FullFT/selected-PEFT run with checkpoint or final inference evidence.
run/sthelar40x_colon_5class_spatial_margin128_cap50000_fullft_lr1e-5_e10_seed42_CLEAN,8423986323,7.845449,2026-07-21T16:00:20+00:00,Tissue-specific 5-class within-slide margin128,FullFT,Colon,42,log/2026-06-30T180350_sthelar40x_colon_5class_spatial_margin128_cap50000_fullft_lr1e-5_e10_seed42_CLEAN/checkpoints/model_best.pth [8397780481 B],log/2026-06-30T180350_sthelar40x_colon_5class_spatial_margin128_cap50000_fullft_lr1e-5_e10_seed42_CLEAN/inference_results.json [6943474 B]; log/2026-06-30T180350_sthelar40x_colon_5class_spatial_margin128_cap50000_fullft_lr1e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard.json [18449 B]; log/2026-06-30T180350_sthelar40x_colon_5class_spatial_margin128_cap50000_fullft_lr1e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [3999 B],NO,NO,NO,NO,KEEP_CRITICAL,NONE,Canonical tissue-specific FullFT/selected-PEFT run with checkpoint or final inference evidence.
run/sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN,5819057026,5.419419,2026-07-21T16:00:20+00:00,Tissue-specific 5-class within-slide margin128,LoRA Q/V + AdaptFormer + NP/HV/NT final heads,Colon,42,log/2026-06-30T092331_sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/checkpoints/model_best.pth [2894597112 B]; log/2026-06-30T203052_sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/checkpoints/model_best.pth [2894602826 B],log/2026-06-30T092331_sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results.json [6887944 B]; log/2026-06-30T092331_sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard.json [18059 B]; log/2026-06-30T092331_sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [3667 B]; log/2026-06-30T203052_sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results.json [6893738 B]; log/2026-06-30T203052_sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard.json [18055 B]; log/2026-06-30T203052_sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [3706 B],YES,YES,YES,YES,KEEP_CRITICAL,NONE,Source run is referenced by an adapter manifest and is a source of a published Hugging Face adapter.
